name,uniscoreavg
Chungnam National University,15.8
Chuo University,15.87142857142857
City University of Hong Kong,50.40909090909091
"City, University of London",37.39375
Clark University,42.528571428571425
Clarkson University,28.299999999999997
Claude Bernard University Lyon 1,34.6125
Clemson University,24.90833333333333
Cochin University of Science and Technology,16.87142857142857
Colorado School of Mines,41.91818181818182
"Colorado State University, Fort Collins",36.65625
Columbia University,86.4076923076923
Comenius University in Bratislava,19.675
Comillas Pontifical University,15.4
Communication University of China,14.350000000000001
Complutense University of Madrid,32.525
Concordia University,28.6375
Constructor University,45.18
Copenhagen Business School,44.0625
Cornell University,83.4923076923077
Corvinus University of Budapest,17.45
Covenant University,33.88
Coventry University,26.325
Cracow University of Technology,16.150000000000002
Creighton University,31.385714285714283
Cukurova University,15.84
Curtin University,40.51875
Cyprus University of Technology,41.4
Czech Technical University in Prague,20.0625
Czech University of Life Sciences Prague (CZU),20.02857142857143
Dalhousie University,42.333333333333336
Dalian University of Technology,26.91875
Damghan University,18.9
Damietta University,40.65
Dartmouth College,58.323076923076925
De La Salle University,18.86
De Montfort University,26.91875
Deakin University,40.6875
Del Rosario University,17.45
Delft University of Technology,63.07692307692308
Delhi Technological University,28.887500000000003
Democritus University of Thrace,17.240000000000002
Dicle University,15.4
Diego Portales University,35.528571428571425
Diponegoro University,16.150000000000002
Dokkyo Medical University,16.150000000000002
Dokuz Eylül University,16.425
Don State Technical University,33.25
Donghua University,30.7
Doshisha University,14.992857142857144
Dow University of Health Sciences,36.6
Dr B.R. Ambedkar National Institute of Technology Jalandhar,25.9
Drexel University,38.66111111111111
Dublin City University,33.075
Dublin Institute of Technology,17.8875
Duke University,82.08461538461538
Dumlupinar University,15.4
Dunarea de Jos University of Galati,16.150000000000002
Durban University of Technology,41.583333333333336
Durham University,58.54615384615385
Duy Tan University,42.975
Duzce University,24.75
EAFIT University,15.4
ENSTA Bretagne,36.6
ESPCI ParisTech,48.349999999999994
ETH Zurich,87.20769230769231
East Carolina University,20.049999999999997
East China Normal University,34.08125
East China University of Science and Technology,25.21875
Eastern Mediterranean University,30.24285714285714
Edge Hill University,23.58
Edinburgh Napier University,31.457142857142856
Edith Cowan University,33.5875
Ege University,17.9625
Ehime University,15.96875
Eindhoven University of Technology,53.45384615384615
El Bosque University,21.35
Embry-Riddle Aeronautical University,23.5875
Emory University,61.33846153846154
Erasmus University Rotterdam,61.599999999999994
Erciyes University,15.774999999999999
Erzincan Binali Yıldırım University,15.4
Escuela Politécnica Nacional,15.4
Escuela Superior Politécnica del Litoral,18.9
Eskişehir Osmangazi University,16.150000000000002
Estonian University of Life Sciences,29.549999999999997
European University of Madrid,29.95
Ewha Womans University,28.66875
Eötvös Loránd University,26.91875
Far Eastern Federal University,16.425
Fayoum University,23.57
