year,ticker,company_name,num_committees,over75_pct,num_meetings
2023,CL,Colgate-Palmolive,9.0,1.0,11.0
2023,CMCSA,Comcast,7.0,1.0,10.0
2023,CMA,Comerica,13.0,1.0,13.0
2023,CAG,Conagra Brands,10.0,1.0,11.0
2023,COP,ConocoPhillips,8.0,1.0,13.0
2023,ED,Consolidated Edison,13.0,1.0,11.0
2023,STZ,Constellation Brands,5.0,1.0,11.0
2023,CEG,Constellation Energy,12.0,1.0,10.0
2023,COO,CooperCompanies,10.0,1.0,8.0
2023,CPRT,Copart,5.0,1.0,11.0
2023,GLW,Corning Inc.,10.0,1.0,15.0
2023,CTVA,Corteva,5.0,1.0,13.0
2023,CSGP,CoStar Group,4.0,1.0,8.0
2023,COST,Costco,4.0,1.0,11.0
2023,CTRA,Coterra,11.0,1.0,10.0
2023,CCI,Crown Castle,7.0,1.0,10.0
2023,CSX,CSX,11.0,1.0,11.0
2023,CMI,Cummins,10.0,1.0,12.0
2023,CVS,CVS Health,7.0,1.0,11.0
2023,DHR,Danaher Corporation,8.0,1.0,14.0
2023,DRI,Darden Restaurants,6.0,1.0,9.0
2023,DVA,DaVita Inc.,7.0,1.0,9.0
2023,DAY,Dayforce,4.0,,
2023,DE,John Deere,9.0,1.0,11.0
2023,DAL,Delta Air Lines,8.0,1.0,13.0
2023,XRAY,Dentsply Sirona,7.0,1.0,11.0
2023,DVN,Devon Energy,9.0,1.0,11.0
2023,DXCM,Dexcom,4.0,1.0,10.0
2023,FANG,Diamondback Energy,5.0,1.0,9.0
2023,DLR,Digital Realty,3.0,1.0,9.0
2023,DFS,Discover Financial,10.0,1.0,12.0
2023,DG,Dollar General,10.0,1.0,9.0
2023,DLTR,Dollar Tree,8.0,1.0,10.0
2023,D,Dominion Energy,9.0,1.0,11.0
2023,DPZ,Domino's,5.0,1.0,9.0
2023,DOV,Dover Corporation,5.0,1.0,9.0
2023,DOW,Dow Inc.,13.0,1.0,12.0
2023,DHI,DR Horton,4.0,1.0,6.0
2023,DTE,DTE Energy,9.0,1.0,10.0
2023,DUK,Duke Energy,10.0,1.0,14.0
2023,DD,DuPont,12.0,1.0,12.0
2023,EMN,Eastman Chemical Company,8.0,1.0,12.0
2023,ETN,Eaton Corporation,7.0,1.0,10.0
2023,EBAY,eBay,6.0,1.0,9.0
2023,ECL,Ecolab,6.0,1.0,13.0
2023,EIX,Edison International,11.0,1.0,11.0
2023,EW,Edwards Lifesciences,5.0,1.0,9.0
2023,EA,Electronic Arts,6.0,1.0,8.0
2023,ELV,Elevance Health,9.0,1.0,11.0
2023,LLY,Eli Lilly and Company,8.0,1.0,12.0
2023,EMR,Emerson Electric,9.0,1.0,11.0
2023,ENPH,Enphase,3.0,1.0,7.0
2023,ETR,Entergy,10.0,1.0,12.0
2023,EOG,EOG Resources,10.0,1.0,9.0
2023,EPAM,EPAM Systems,3.0,1.0,9.0
2023,EQT,EQT,8.0,1.0,11.0
2023,EFX,Equifax,12.0,1.0,10.0
2023,EQIX,Equinix,10.0,0.0,11.0
2023,EQR,Equity Residential,6.0,1.0,9.0
2023,ESS,Essex Property Trust,7.0,1.0,10.0
2023,EL,Estée Lauder Companies (The),5.0,1.0,15.0
2023,ETSY,Etsy,4.0,1.0,9.0
2023,EG,Everest Re,7.0,1.0,9.0
2023,EVRG,Evergy,10.0,1.0,11.0
2023,ES,Eversource,13.0,1.0,11.0
2023,EXC,Exelon,15.0,1.0,8.0
2023,EXPE,Expedia Group,6.0,1.0,12.0
2023,EXPD,Expeditors International,4.0,1.0,9.0
2023,EXR,Extra Space Storage,4.0,1.0,10.0
2023,XOM,ExxonMobil,10.0,1.0,12.0
2023,FFIV,"F5, Inc.",6.0,1.0,11.0
2023,FDS,FactSet,5.0,1.0,9.0
2023,FICO,Fair Isaac,6.0,1.0,8.0
2023,FAST,Fastenal,6.0,1.0,10.0
2023,FRT,Federal Realty,5.0,1.0,7.0
2023,FDX,FedEx,9.0,1.0,13.0
2023,FIS,Fidelity National Information Services,11.0,1.0,12.0
2023,FITB,Fifth Third Bank,12.0,1.0,14.0
2023,FSLR,First Solar,5.0,1.0,12.0
2023,FE,FirstEnergy,12.0,1.0,11.0
2023,FI,Fiserv,7.0,1.0,8.0
2023,FLT,Fleetcor,8.0,1.0,11.0
2023,FMC,FMC Corporation,7.0,1.0,10.0
2023,F,Ford Motor Company,14.0,1.0,14.0
2023,FTNT,Fortinet,6.0,1.0,8.0
2023,FTV,Fortive,4.0,1.0,9.0
2023,FOXA,Fox Corporation (Class A),3.0,1.0,7.0
2023,FOX,Fox Corporation (Class B),4.0,,
2023,BEN,Franklin Templeton,5.0,1.0,11.0
2023,FCX,Freeport-McMoRan,9.0,1.0,12.0
2023,GRMN,Garmin,4.0,1.0,6.0
2023,IT,Gartner,7.0,1.0,12.0
2023,GEHC,GE HealthCare,3.0,1.0,10.0
2023,GEN,Gen Digital,8.0,1.0,10.0
2023,GNRC,Generac,4.0,1.0,11.0
2023,GD,General Dynamics,10.0,1.0,13.0
2023,GE,General Electric,14.0,1.0,10.0
2023,GIS,General Mills,11.0,1.0,11.0
2023,GM,General Motors,12.0,1.0,13.0
2023,GPC,Genuine Parts Company,6.0,1.0,13.0
2023,GILD,Gilead Sciences,7.0,1.0,9.0
2023,GPN,Global Payments,7.0,1.0,11.0
2023,GL,Globe Life,6.0,1.0,12.0
2023,GS,Goldman Sachs,7.0,1.0,12.0
2023,HAL,Halliburton,5.0,1.0,13.0
2023,HIG,Hartford (The),9.0,1.0,11.0
2023,HAS,Hasbro,10.0,1.0,11.0
2023,HCA,HCA Healthcare,9.0,1.0,10.0
2023,PEAK,Healthpeak,11.0,1.0,8.0
2023,HSIC,Henry Schein,7.0,1.0,14.0
2023,HSY,Hershey's,7.0,1.0,11.0
2023,HES,Hess Corporation,9.0,1.0,12.0
2023,HPE,Hewlett Packard Enterprise,5.0,1.0,12.0
2023,HLT,Hilton Worldwide,7.0,1.0,10.0
2023,HOLX,Hologic,8.0,1.0,9.0
2023,HD,Home Depot (The),10.0,1.0,13.0
2023,HON,Honeywell,5.0,1.0,11.0
2023,HRL,Hormel Foods,9.0,1.0,11.0
2023,HST,Host Hotels & Resorts,5.0,1.0,9.0
2023,HWM,Howmet Aerospace,11.0,1.0,9.0
2023,HPQ,HP Inc.,12.0,1.0,13.0
2023,HUBB,Hubbell Incorporated,5.0,1.0,10.0
2023,HUM,Humana,14.0,1.0,12.0
2023,HBAN,Huntington Bancshares,16.0,1.0,13.0
2023,HII,Huntington Ingalls Industries,6.0,1.0,11.0
2023,IBM,IBM,4.0,1.0,12.0
2023,IEX,IDEX Corporation,5.0,1.0,10.0
2023,IDXX,Idexx Laboratories,7.0,1.0,10.0
2023,ITW,Illinois Tool Works,5.0,1.0,10.0
2023,ILMN,Illumina,5.0,1.0,12.0
2023,INCY,Incyte,9.0,1.0,9.0
2023,IR,Ingersoll Rand,12.0,1.0,10.0
2023,PODD,Insulet,5.0,1.0,9.0
2023,INTC,Intel,11.0,1.0,12.0
2023,ICE,Intercontinental Exchange,8.0,1.0,10.0
2023,IFF,International Flavors & Fragrances,10.0,1.0,11.0
2023,IP,International Paper,6.0,1.0,11.0
2023,IPG,Interpublic Group of Companies (The),9.0,1.0,9.0
2023,INTU,Intuit,8.0,1.0,9.0
2023,ISRG,Intuitive Surgical,3.0,1.0,11.0
2023,IVZ,Invesco,7.0,1.0,12.0
2023,INVH,Invitation Homes,4.0,1.0,10.0
2023,IQV,IQVIA,5.0,1.0,10.0
2023,IRM,Iron Mountain,11.0,1.0,10.0
2023,JBHT,J.B. Hunt,6.0,1.0,9.0
2023,JBL,Jabil,5.0,1.0,8.0
2023,JKHY,Jack Henry & Associates,6.0,1.0,9.0
2023,J,Jacobs Solutions,5.0,1.0,11.0
2023,JNJ,Johnson & Johnson,11.0,1.0,12.0
2023,JCI,Johnson Controls,12.0,1.0,11.0
2023,JPM,JPMorgan Chase,8.0,0.0,12.0
2023,JNPR,Juniper Networks,4.0,1.0,10.0
2023,K,Kellanova,23.0,1.0,11.0
2023,KVUE,Kenvue,,,
2023,KDP,Keurig Dr Pepper,7.0,1.0,11.0
2023,KEY,KeyCorp,15.0,1.0,13.0
2023,KEYS,Keysight,8.0,1.0,11.0
2023,KMB,Kimberly-Clark,8.0,1.0,12.0
2023,KIM,Kimco Realty,5.0,1.0,8.0
2023,KMI,Kinder Morgan,5.0,1.0,14.0
2023,KLAC,KLA Corporation,5.0,1.0,10.0
2023,KHC,Kraft Heinz,5.0,1.0,12.0
2023,KR,Kroger,9.0,1.0,11.0
2023,LHX,L3Harris,14.0,1.0,12.0
2023,LH,LabCorp,8.0,1.0,11.0
2023,LRCX,Lam Research,5.0,1.0,11.0
2023,LW,Lamb Weston,5.0,1.0,11.0
2023,LVS,Las Vegas Sands,7.0,1.0,8.0
2023,LDOS,Leidos,12.0,1.0,12.0
2023,LEN,Lennar,9.0,1.0,10.0
2023,LIN,Linde plc,10.0,1.0,10.0
2023,LYV,Live Nation Entertainment,4.0,1.0,11.0
2023,LKQ,LKQ Corporation,7.0,1.0,9.0
2023,LMT,Lockheed Martin,12.0,1.0,13.0
2023,L,Loews Corporation,12.0,1.0,11.0
2023,LOW,Lowe's,9.0,1.0,12.0
2023,LULU,Lululemon Athletica,6.0,1.0,10.0
2023,LYB,LyondellBasell,8.0,1.0,11.0
2023,MTB,M&T Bank,10.0,1.0,17.0
2023,MRO,Marathon Oil,9.0,1.0,8.0
2023,MPC,Marathon Petroleum,9.0,1.0,12.0
2023,MKTX,MarketAxess,8.0,1.0,11.0
2023,MAR,Marriott International,10.0,1.0,13.0
2023,MMC,Marsh McLennan,14.0,1.0,14.0
2023,MLM,Martin Marietta Materials,8.0,1.0,10.0
2023,MAS,Masco,6.0,1.0,9.0
2023,MA,Mastercard,4.0,1.0,12.0
2023,MTCH,Match Group,7.0,1.0,10.0
