ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
NMIH,S&P 600,4.0,10.0,1.0,9.0,2.25
NRG,S&P 500,12.0,36.0,1.0,10.0,0.8333333333333334
NVR,S&P 500,8.0,21.0,1.0,10.0,1.25
NVEE,S&P 600,3.0,8.0,1.0,8.0,2.6666666666666665
NOV,S&P 400,5.0,21.0,1.0,8.0,1.6
NDAQ,S&P 500,11.0,52.0,1.0,11.0,1.0
NBHC,S&P 600,3.0,10.0,1.0,8.0,2.6666666666666665
FIZZ,S&P 600,4.0,7.0,1.0,5.0,1.25
NHC,S&P 600,3.0,7.0,1.0,8.0,2.6666666666666665
NFG,S&P 400,9.0,36.0,1.0,11.0,1.2222222222222223
NATI,S&P 400,3.0,15.0,1.0,8.0,2.6666666666666665
NPK,S&P 600,3.0,4.0,1.0,5.0,1.6666666666666667
NNN,S&P 400,4.0,18.0,1.0,9.0,2.25
NSA,S&P 400,5.0,9.0,1.0,10.0,2.0
EYE,S&P 600,7.0,22.0,1.0,9.0,1.2857142857142858
DNOW,S&P 600,4.0,10.0,1.0,8.0,2.0
NAVI,S&P 600,9.0,21.0,1.0,10.0,1.1111111111111112
NKTR,,5.0,15.0,,,
NEOG,S&P 400,6.0,19.0,1.0,9.0,1.5
NEO,S&P 600,10.0,26.0,1.0,8.0,0.8
NTAP,S&P 500,8.0,25.0,1.0,9.0,1.125
NFLX,S&P 500,5.0,17.0,1.0,12.0,2.4
NTGR,S&P 600,5.0,19.0,1.0,8.0,1.6
NTCT,S&P 600,6.0,14.0,1.0,10.0,1.6666666666666667
NBIX,S&P 400,5.0,14.0,1.0,9.0,1.8
NJR,S&P 400,7.0,28.0,1.0,10.0,1.4285714285714286
NYCB,S&P 400,13.0,37.0,1.0,14.0,1.0769230769230769
NYMT,S&P 600,4.0,12.0,1.0,7.0,1.75
NYT,S&P 400,7.0,40.0,1.0,12.0,1.7142857142857142
NWL,S&P 600,8.0,38.0,1.0,11.0,1.375
NEU,S&P 400,5.0,11.0,1.0,7.0,1.4
NEM,S&P 500,12.0,50.0,1.0,12.0,1.0
NWSA,S&P 500,3.0,9.0,1.0,7.0,2.3333333333333335
NEX,S&P 600,4.0,19.0,1.0,11.0,2.75
NXST,S&P 400,3.0,12.0,1.0,9.0,3.0
NEE,S&P 500,7.0,35.0,1.0,12.0,1.7142857142857142
NXRT,S&P 600,4.0,5.0,1.0,7.0,1.75
,S&P 600,776.0,17673.0,1.0,53.0,0.06829896907216494
NKE,S&P 500,9.0,32.0,1.0,13.0,1.4444444444444444
NI,S&P 500,14.0,35.0,1.0,12.0,0.8571428571428571
NDSN,S&P 500,7.0,27.0,1.0,9.0,1.2857142857142858
JWN,S&P 400,8.0,35.0,1.0,11.0,1.375
NSC,S&P 500,11.0,36.0,1.0,13.0,1.1818181818181819
NOG,S&P 600,7.0,15.0,1.0,8.0,1.1428571428571428
NTRS,S&P 500,10.0,31.0,1.0,12.0,1.2
OUT,S&P 600,3.0,8.0,1.0,8.0,2.6666666666666665
NFBK,S&P 600,7.0,15.0,1.0,10.0,1.4285714285714286
NOC,S&P 500,10.0,32.0,0.0,13.0,1.3
NWBI,S&P 600,11.0,26.0,1.0,11.0,1.0
NWN,S&P 600,12.0,27.0,1.0,11.0,0.9166666666666666
NWE,S&P 400,8.0,16.0,1.0,10.0,1.25
GEN,S&P 500,8.0,49.0,1.0,10.0,1.25
NOVT,S&P 400,4.0,17.0,1.0,8.0,2.0
NUS,S&P 600,8.0,31.0,1.0,9.0,1.125
NUE,S&P 500,3.0,22.0,1.0,8.0,2.6666666666666665
NVDA,S&P 500,3.0,16.0,1.0,13.0,4.333333333333333
,S&P 600,776.0,17673.0,1.0,53.0,0.06829896907216494
OGE,S&P 400,6.0,25.0,1.0,10.0,1.6666666666666667
OI,S&P 600,6.0,31.0,1.0,10.0,1.6666666666666667
ORLY,S&P 500,4.0,10.0,0.0,10.0,2.5
OFG,S&P 600,6.0,26.0,1.0,7.0,1.1666666666666667
OSIS,S&P 600,8.0,9.0,1.0,6.0,0.75
CHRD,S&P 400,9.0,31.0,1.0,10.0,1.1111111111111112
OXY,S&P 500,16.0,30.0,1.0,10.0,0.625
OII,S&P 600,4.0,14.0,1.0,8.0,2.0
PYPL,S&P 500,4.0,11.0,1.0,12.0,3.0
OPI,S&P 600,3.0,7.0,1.0,9.0,3.0
OIS,S&P 600,5.0,16.0,1.0,7.0,1.4
ODFL,S&P 500,7.0,18.0,1.0,11.0,1.5714285714285714
ONB,S&P 400,16.0,38.0,1.0,16.0,1.0
ORI,S&P 400,6.0,27.0,1.0,13.0,2.1666666666666665
OGS,S&P 400,4.0,11.0,1.0,8.0,2.0
OLN,S&P 400,6.0,29.0,1.0,8.0,1.3333333333333333
OLLI,S&P 400,3.0,10.0,1.0,8.0,2.6666666666666665
ZEUS,S&P 600,5.0,16.0,1.0,9.0,1.8
OMC,S&P 500,7.0,23.0,1.0,10.0,1.4285714285714286
PAYO,S&P 600,4.0,13.0,1.0,9.0,2.25
OHI,S&P 400,5.0,16.0,1.0,8.0,1.6
