ticker,roa
A,0.1606949988260155
AA,0.07577684306628843
AAA,-0.6561015799166424
AAAB,0.01921814021021901
AAABB,0.01484173723100768
AAAC,
AABC,0.02050892318522209
AAC,-0.04710228074465794
AACC,0.09780963914724809
AACE,0.1805781173603054
AACI,0.08133561218044882
AACIB,0.4539592687961524
AACQ,-0.01082247507692985
AAD,0.003974067346058162
AADI,-0.380997851515875
AADV,0.02497157896376123
AAE,0.1341439657131725
AAF,0.1169336661738688
AAFG,-1.0097547223005356
AAG,0.01897955995136233
AAGC,0.1759816662474498
AAGI,-0.4290356538056661
AAGP,0.3149798089866035
AAHS,-0.2079553989254145
AAI,0.09322194142739362
AAIC,0.2171948550446051
AAII,-0.01808645779616889
AAIR,0.1925944756562241
AAL,0.1055558485987928
AALR,0.1223972447448258
AALS,0.1585354025218235
AALX,0.1141294890230164
AAM,
AAMC,-0.1149836274355688
AAMD,0.2147055657228981
AAME,0.01283681029440437
AAMN,0.2828958575300038
AAN,0.4014912744323168
AANB,-0.01040071024752862
AAOI,-0.05451114989713039
AAON,0.3059306692064157
AAP,0.07570676982183328
AAPI,-0.3038162282326788
AAPL,0.3482046905171705
AAR,0.1141967396773857
AARC,-12.063091482649842
AARE,0.1625725054128465
AARN,0.2551839116390539
AAS,0.09567330776340797
AASI,0.2255041672064603
AASP,0.01575717968267799
AASS,0.1798397467603126
AAST,0.06786942937744234
AATC,0.09602747567258156
AATI,-0.09099530684726981
AATK,0.08658008658008658
AATT,0.1466835737188439
AAV,0.1864458900059136
AAVL,-0.2085189747199249
AAWW,0.12198385044734
AAX,-0.04788204339310181
AAXN,0.01930153745831204
AB,-0.03365353259603649
ABA,0.1883361174670466
ABAG,0.08387453200837465
ABAI,0.1605860978996189
ABAN,0.02275292831405946
ABAT,-0.4328441325896797
ABAX,0.1442939996814838
ABBC,0.01666495507683151
ABBI,0.159810136866061
ABBK,0.02147821770250696
ABBV,0.2085326067472126
ABBY,0.1805400327194389
ABC,0.05934740216285313
ABCB,0.02358075876538659
ABCC,-0.04130599848139712
ABCD,0.3271260192659582
ABCI,0.03037698755680304
ABCL,0.01683221337733859
ABCN,0.03032571125818904
ABCO,0.07088350419430994
ABCR,
ABCW,0.03499845412372598
ABD,0.1368205594723675
ABDN,0.4862480480548937
ABDR,0.5986271844016313
ABE,0.1615167216203486
ABEO,-0.7872980193822524
ABEV,0.08907150142945394
ABF,0.1195315435041958
ABFI,-0.05968701597160321
ABFS,0.1047466892291016
ABG,0.1578177660276759
ABGA,0.03394080850174248
ABGX,-0.1822862126759062
ABH,0.06927307863832317
ABI,0.2069310549555407
ABIG,0.04945258409821469
ABII,-0.02145471671050566
ABIIB,0.3599120341309891
ABIO,-0.1557263902137927
ABIX,0.133156487138788
ABIZ,-0.04733733651180595
ABK,0.07042243433271117
ABKC,-0.2735934664246825
ABKP,0.0173186471988134
ABKR,0.01780127587718274
ABL,0.1735350552340043
ABLE,-0.1535112085404123
ABM,0.1084202150449881
ABMC,-0.03427747670786727
ABMD,0.1778826120226584
ABMI,-1.1348369939919236
ABN,0.05266794587305837
ABNB,0.1323450974391116
ABNC,0.01928643813040327
ABNJ,0.007743202737894762
ABNK,0.02416685211807476
ABNY,
ABOS,-0.2611031119862195
ABOT,0.445271585106244
ABOV,-0.2862488933197432
ABP,0.2842083372719538
ABPCA,0.1236021117583237
ABPI,-1.3969894041613484
ABR,0.1235815602836879
ABRI,-0.005608483973802716
ABRS,-0.6508377255624108
ABRX,0.3137477988576039
ABS,0.1318335083743298
ABSB,0.1217262596336315
ABSC,0.03453788993659272
ABSI,-0.2497507330347286
ABSO,-0.4536055744611895
ABT,0.1378833810354463
ABTC,0.1679316730961634
ABTE,-0.001525526116283323
ABTG,-6.957612456747406
ABTI,-0.4201389262829143
ABTL,0.08757828449927713
ABTX,-0.0475027198101078
ABUD,0.1855027885163869
ABUG,0.4365990871457382
ABVA,0.01174420194103978
ABVC,-0.9269391696169939
ABVT,0.2250407260879684
ABW,0.04843341477004824
ABWG,-0.6573162563176164
ABXA,0.1353923796278138
ABY,0.1409706490387591
AC,-0.01024952299971938
ACA,0.09952460703100943
ACAD,-0.3440704259690326
ACAI,0.2583323395039098
ACAJ,
ACAL,0.1943623799152521
ACAM,-0.005521142041811416
ACAP,0.06391183948696647
ACAR,-0.2989405832381141
ACAS,0.06711409395973154
ACAT,-0.1416897405294834
ACBA,0.001843895074687354
ACBI,0.02060656859087352
ACC,-0.004175738459338003
ACCB,-0.4948134359928928
ACCC,0.1650915021321534
ACCD,-0.09974330598858265
ACCI,0.2887889243132288
ACCL,0.03297812647167864
ACCM,-0.2618837917411108
ACCMA,0.03435643656263088
ACCO,0.07261297995242949
ACCOB,0.1664152754865577
ACCS,0.3352324191637949
ACCT,-0.3090138331102187
ACCU,0.1230349164322357
ACCX,0.1307059201297933
ACD,0.1377905780703559
ACDC,0.4123762912814014
ACDG,-0.05195143246042634
ACDO,0.150657661147971
ACE,0.181710745429477
ACEC,-0.6525461584276355
ACEE,0.1642731569213909
ACEL,0.1974495886151499
ACEP,0.04218501852832186
ACER,-1.0253754098703034
ACES,0.2084212170924147
ACET,-0.4010949826443673
ACEV,-0.03008831916239805
ACF,0.08141595656339945
ACFC,0.01800377106015449
ACGL,-0.008853306725899924
ACGN,-0.3489059365764773
ACH,0.05046892162108881
ACHC,0.1201472401337886
ACHI,-0.08194350868100544
ACHN,-0.2659494340402348
ACHP,-0.08208523832045825
ACHR,-0.5671653096004544
ACHV,-1.3069458193354273
ACI,0.1479061063303077
