ticker,spindex,female_pct,diversity_board,shannon
AAON,S&P 600,0.25,False,0.7356219397587946
AIR,S&P 600,0.2,False,0.3250829733914482
ABM,S&P 600,0.3,False,0.9404479886553263
AFL,S&P 500,0.45454545454545453,True,0.9075352941050093
ATEN,S&P 600,0.2,False,0.9502705392332347
AGCO,S&P 400,0.3,True,0.8018185525433373
AES,S&P 500,0.5,False,1.0888999753452238
AMCX,S&P 600,0.15384615384615385,False,0.0
AMN,S&P 600,0.5555555555555556,False,0.8486855577264172
ANIP,S&P 600,0.2222222222222222,False,0.8486855577264172
ASGN,S&P 400,0.2727272727272727,False,0.6001660731596457
T,S&P 500,0.2,False,0.639031859650177
ATNI,S&P 600,0.42857142857142855,False,0.5982695885852573
AZZ,S&P 600,0.2,False,0.3250829733914482
AAN,S&P 600,0.375,False,0.37677016125643675
ABT,S&P 500,0.4166666666666667,False,0.7214636866925115
ABBV,S&P 500,0.2727272727272727,True,0.6001660731596457
ANF,S&P 600,0.6666666666666666,False,0.6837389058487535
ASO,S&P 600,0.4,False,0.3250829733914482
ACHC,S&P 400,0.2,False,0.3250829733914482
AKR,S&P 600,0.2222222222222222,False,0.34883209584303193
ACIW,S&P 600,0.2857142857142857,False,0.796311640173813
ADTN,S&P 600,0.3333333333333333,False,1.0027182645175161
,S&P 500,,,
AYI,S&P 400,0.4,False,0.5004024235381879
AHCO,S&P 600,0.1111111111111111,False,0.5297061990576545
ADUS,S&P 600,0.4444444444444444,False,0.6837389058487535
ADEA,S&P 600,0.4,False,0.5004024235381879
ADBE,S&P 500,0.3333333333333333,True,0.7214636866925115
ATGE,S&P 600,0.4,False,0.8979457248567798
AAP,S&P 600,0.3333333333333333,False,0.6837389058487535
ACM,S&P 400,0.375,True,0.37677016125643675
ASIX,S&P 600,0.5,True,0.7356219397587946
AMD,S&P 500,0.3333333333333333,False,1.0027182645175161
WMS,S&P 400,0.25,True,1.0986122886681098
AEIS,S&P 600,0.3,True,0.3250829733914482
AVAV,S&P 600,0.2857142857142857,False,0.410116318288409
AMG,S&P 400,0.375,False,0.7356219397587946
A,S&P 500,0.2727272727272727,False,0.8855741515766717
AGYS,S&P 600,0.14285714285714285,False,0.796311640173813
AGTI,S&P 600,0.18181818181818182,False,0.30463609734923813
ADC,S&P 400,0.2222222222222222,False,0.6837389058487535
ABNB,S&P 500,0.25,False,1.073542846408523
APD,S&P 500,0.25,False,1.073542846408523
AKAM,S&P 500,0.3,False,0.8018185525433373
ALG,S&P 600,0.375,False,0.37677016125643675
ALRM,S&P 600,0.14285714285714285,False,0.796311640173813
ALK,S&P 600,0.36363636363636365,False,1.0335620542068176
AIN,S&P 600,0.2222222222222222,False,0.34883209584303193
ALB,S&P 500,0.3,True,0.8018185525433373
AA,S&P 400,0.3333333333333333,True,0.34883209584303193
ALEX,S&P 600,0.2857142857142857,False,0.6829081047004717
ARE,S&P 500,0.2857142857142857,False,0.410116318288409
ALGN,S&P 500,0.375,False,0.9002560512685369
ATI,S&P 600,0.3,False,0.639031859650177
ALGT,S&P 600,0.25,False,0.7356219397587946
ALGM,S&P 400,0.09090909090909091,False,0.9164648855394713
ALE,S&P 400,0.5,False,0.5004024235381879
BFH,S&P 600,0.2857142857142857,False,0.410116318288409
LNT,S&P 500,0.4444444444444444,False,0.34883209584303193
ALL,S&P 500,0.3333333333333333,False,0.8239592165010823
ALLY,S&P 400,0.2727272727272727,False,0.30463609734923813
AMR,S&P 600,0.2222222222222222,False,0.34883209584303193
GOOGL,S&P 500,0.2727272727272727,True,1.1685184057430877
MO,S&P 500,0.4166666666666667,False,1.0751393240053735
AMZN,S&P 500,0.45454545454545453,False,0.6001660731596457
AMBC,S&P 600,0.42857142857142855,False,0.410116318288409
AMED,S&P 400,0.5555555555555556,False,0.34883209584303193
AEE,S&P 500,0.2857142857142857,True,0.7589367727620596
AAL,S&P 500,0.25,False,0.9830877585747855
AAT,S&P 600,0.4,False,0.5004024235381879
AXL,S&P 600,0.2,False,0.3250829733914482
AEP,S&P 500,0.46153846153846156,False,0.8305178252872478
AEO,S&P 600,0.42857142857142855,False,0.410116318288409
AEL,S&P 600,0.2,False,0.3250829733914482
AXP,S&P 500,0.2857142857142857,False,0.8304717124362917
AFG,S&P 400,0.18181818181818182,False,0.30463609734923813
AIG,S&P 500,0.5,False,0.5004024235381879
AWR,S&P 600,0.3333333333333333,False,0.6837389058487535
AMT,S&P 500,0.4166666666666667,False,0.8239592165010823
AVD,S&P 600,0.3333333333333333,False,0.6837389058487535
AWK,S&P 500,0.6,False,0.3250829733914482
AMWD,S&P 600,0.25,True,0.7356219397587946
CRMT,S&P 600,0.42857142857142855,False,0.410116318288409
AMSF,S&P 600,0.25,False,0.7356219397587946
COR,S&P 500,0.3,True,0.639031859650177
AMP,S&P 500,0.25,False,0.7356219397587946
ABCB,S&P 600,0.15384615384615385,False,0.6870920273799715
AME,S&P 500,0.3333333333333333,False,0.34883209584303193
