ticker,spindex
C,S&P 500
INGN,S&P 600
CFG,S&P 500
CHCO,S&P 600
CIVI,S&P 400
CLH,S&P 400
CLFD,S&P 600
CLW,S&P 600
CWEN,S&P 600
CLF,S&P 400
CLX,S&P 500
COKE,S&P 400
KO,S&P 500
CCOI,S&P 600
CGNX,S&P 400
CTSH,S&P 500
COHR,S&P 400
CHRS,S&P 600
COHU,S&P 600
ENOV,S&P 400
CL,S&P 500
COLL,S&P 600
COLB,S&P 400
COLM,S&P 400
FIX,S&P 400
CMCSA,S&P 500
CMA,S&P 500
CBSH,S&P 400
CMC,S&P 400
CBU,S&P 600
CYH,S&P 600
CHCT,S&P 600
CVLT,S&P 400
CMP,S&P 600
CPSI,S&P 600
CRK,S&P 600
CMTL,
CAG,S&P 500
CNXC,S&P 400
CNMD,S&P 600
COP,S&P 500
CCSI,S&P 600
CEIX,S&P 600
CNSL,S&P 600
ED,S&P 500
STZ,S&P 500
CEG,S&P 500
COO,S&P 500
CPRT,S&P 500
CORT,S&P 600
CLB,S&P 600
CXW,S&P 600
CNM,S&P 400
GLW,S&P 500
QDEL,S&P 400
CDP,S&P 400
CRSR,S&P 600
CTVA,S&P 500
CRVL,S&P 600
COST,S&P 500
CSGP,S&P 500
COTY,S&P 400
CUZ,S&P 400
CBRL,S&P 600
CXT,S&P 400
CROX,S&P 400
CCRN,S&P 600
CCI,S&P 500
CCK,S&P 400
AORT,S&P 600
CUBE,S&P 400
CFR,S&P 400
CMI,S&P 500
CW,S&P 400
CUBI,S&P 600
CUTR,
CYTK,S&P 600
CTKB,S&P 600
BOOM,S&P 600
DHI,S&P 500
DTE,S&P 500
DXPE,S&P 600
DTM,S&P 400
DAN,S&P 600
DXC,S&P 600
DHR,S&P 500
DRI,S&P 500
DAR,S&P 400
PLAY,S&P 600
DVA,S&P 500
DECK,S&P 400
DE,S&P 500
DAL,S&P 500
DLX,S&P 600
XRAY,S&P 500
DBI,S&P 600
DVN,S&P 500
DXCM,S&P 500
DRH,S&P 600
FANG,S&P 500
DKS,S&P 400
DGII,S&P 600
DLR,S&P 500
APPS,S&P 600
DV,S&P 600
DCOM,S&P 600
DIN,S&P 600
DIOD,S&P 600
DIS,S&P 500
DFS,S&P 500
,S&P 600
DLB,S&P 400
DG,S&P 500
DLTR,S&P 500
D,S&P 500
DPZ,S&P 500
DCI,S&P 400
DORM,S&P 600
DFIN,S&P 600
DEI,S&P 600
DOUG,
DOV,S&P 500
DOW,S&P 500
DRQ,S&P 600
DBX,S&P 400
ENR,S&P 600
DUK,S&P 500
DD,S&P 500
DOCS,S&P 400
DY,S&P 600
DT,S&P 400
DVAX,S&P 600
ELF,S&P 600
LOCO,S&P 600
EOG,S&P 500
EQT,S&P 500
EPR,S&P 400
EGBN,S&P 600
EXP,S&P 400
EGRX,S&P 600
EWBC,S&P 400
DEA,S&P 600
EGP,S&P 400
EMN,S&P 500
EBAY,S&P 500
ECL,S&P 500
EPC,S&P 600
EIX,S&P 500
EW,S&P 500
EGHT,S&P 600
EA,S&P 500
EFC,S&P 600
EMBC,S&P 600
EME,S&P 400
EBS,S&P 600
EMR,S&P 500
AZPN,S&P 400
EIG,S&P 600
ENTA,S&P 600
ECPG,S&P 600
WIRE,S&P 600
EHC,S&P 400
ENS,S&P 400
EPAC,S&P 600
EHAB,S&P 600
ENPH,S&P 500
NPO,S&P 600
ENVA,S&P 600
ENSG,S&P 600
ETR,S&P 500
ENV,S&P 600
EPAM,S&P 500
NVST,S&P 400
PLUS,S&P 600
EFX,S&P 500
EQIX,S&P 500
EQH,S&P 400
ETRN,S&P 400
ELS,S&P 400
EQR,S&P 500
ESAB,S&P 400
EVR,S&P 400
ESE,S&P 600
EPRT,S&P 600
WTRG,S&P 400
ESS,S&P 500
ETD,S&P 600
ETSY,S&P 500
EEFT,S&P 400
EVRG,S&P 500
EVTC,S&P 600
ES,S&P 500
EXC,S&P 500
EXEL,S&P 400
EXLS,S&P 400
EXPE,S&P 500
EXPI,S&P 600
EXPD,S&P 500
EXPO,S&P 400
EXR,S&P 500
EXTR,S&P 600
XOM,S&P 500
FMC,S&P 500
FNB,S&P 400
FBK,S&P 600
FCN,S&P 400
META,S&P 500
FDS,S&P 500
FICO,S&P 500
FARO,S&P 600
FAST,S&P 500
FRT,S&P 500
FSS,S&P 600
FDX,S&P 500
FFIV,S&P 500
FIS,S&P 500
FNF,S&P 400
FITB,S&P 500
FAF,S&P 400
FBP,S&P 600
FBNC,S&P 600
FCF,S&P 600
FFBC,S&P 600
FFIN,S&P 400
FHN,S&P 400
FHB,S&P 600
FR,S&P 400
FSLR,S&P 500
FCFS,S&P 400
FI,S&P 500
FE,S&P 500
FIVE,S&P 400
FLT,S&P 500
FND,S&P 400
FLR,S&P 400
FLO,S&P 400
FLS,S&P 400
FL,S&P 600
F,S&P 500
FORM,S&P 600
FORR,S&P 600
FTNT,S&P 500
FTV,S&P 500
FBIN,S&P 400
FWRD,S&P 600
FCPT,S&P 600
FOXA,S&P 500
FOXF,S&P 400
FBRT,S&P 600
FELE,S&P 600
BEN,S&P 500
FSP,
FCX,S&P 500
FTDR,S&P 600
FYBR,S&P 400
FLGT,S&P 600
FUL,S&P 600
FULT,S&P 600
FF,S&P 600
GATX,S&P 400
GEO,S&P 600
GIII,S&P 600
GMS,S&P 600
GXO,S&P 400
GEHC,S&P 500
AJG,S&P 500
GLPI,S&P 400
GME,S&P 400
GCI,S&P 600
GPS,S&P 400
IT,S&P 500
GNRC,S&P 500
GD,S&P 500
GE,S&P 500
GIS,S&P 500
GM,S&P 500
GCO,S&P 600
GNTX,S&P 400
GPC,S&P 500
GNW,S&P 600
THRM,S&P 600
GTY,S&P 600
ROCK,S&P 600
GILD,S&P 500
GBCI,S&P 400
GKOS,S&P 600
GNL,S&P 600
GPN,S&P 500
GMED,S&P 400
GL,S&P 500
GDDY,S&P 400
GOGO,S&P 600
GDEN,S&P 600
GS,S&P 500
GT,S&P 400
GSHD,S&P 600
GGG,S&P 400
GHC,S&P 400
GWW,S&P 500
LOPE,S&P 400
GVA,S&P 600
GPMT,
GPK,S&P 400
GRBK,S&P 600
GDOT,S&P 600
GPRE,S&P 600
GBX,S&P 600
GEF,S&P 400
GFF,S&P 600
GO,S&P 400
GPI,S&P 600
GES,S&P 600
DINO,S&P 400
HCA,S&P 500
HCI,S&P 600
HNI,S&P 600
HPQ,S&P 500
HAE,S&P 400
HAIN,S&P 600
HAL,S&P 500
HALO,S&P 400
HWC,S&P 400
HBI,S&P 600
HAFC,S&P 600
HASI,S&P 600
THG,S&P 400
HOG,S&P 400
HLIT,S&P 600
HRMY,S&P 600
NVRI,S&P 600
HIG,S&P 500
HAS,S&P 500
HVT,S&P 600
