ticker,spindex
USPH,S&P 600
SLCA,S&P 600
ULTA,S&P 500
UCTT,S&P 600
UAA,S&P 400
UNF,S&P 600
UNP,S&P 500
UIS,
UCBI,S&P 600
UBSI,S&P 400
UAL,S&P 500
UFCS,S&P 600
UNFI,S&P 600
UPS,S&P 500
URI,S&P 500
USFD,S&P 400
X,S&P 400
UNIT,S&P 600
UTHR,S&P 400
UNH,S&P 500
UTL,S&P 600
UNVR,S&P 400
UVV,S&P 600
OLED,S&P 400
UEIC,
UHT,S&P 600
UVE,S&P 600
UHS,S&P 500
UNM,S&P 400
URBN,S&P 600
UE,S&P 600
UBA,S&P 600
VFC,S&P 500
MTN,S&P 400
VLO,S&P 500
VLY,S&P 400
VMI,S&P 400
VVV,S&P 400
VNDA,S&P 600
VREX,S&P 600
VGR,S&P 600
VECO,S&P 600
VTR,S&P 500
VRSN,S&P 500
VZ,S&P 500
VBTX,S&P 600
VRTV,S&P 600
VRSK,S&P 500
VCEL,S&P 600
VRRM,S&P 600
VRTX,S&P 500
VVI,S&P 600
VSAT,S&P 600
VIAV,S&P 600
PARA,S&P 500
VTRS,S&P 500
VICI,S&P 500
VICR,S&P 600
VSCO,S&P 600
VIR,S&P 600
V,S&P 500
VRTS,S&P 600
VSH,S&P 400
VSTO,S&P 600
VC,S&P 400
VST,S&P 400
VNT,S&P 400
VNO,S&P 400
VOYA,S&P 400
VMC,S&P 500
WDFC,S&P 600
WSFS,S&P 600
WPC,S&P 400
WEC,S&P 500
WNC,S&P 600
WAB,S&P 500
WMT,S&P 500
WBA,S&P 500
WD,S&P 600
WBD,S&P 500
HCC,S&P 600
WAFD,S&P 600
ELME,S&P 600
WM,S&P 500
WAT,S&P 500
WSO,S&P 400
WTS,S&P 400
WBS,S&P 400
WERN,S&P 400
WCC,S&P 400
WFC,S&P 500
WELL,S&P 500
WEN,S&P 400
WST,S&P 500
WABC,S&P 600
WDC,S&P 500
WU,S&P 400
WLK,S&P 400
WRK,S&P 500
WEX,S&P 400
WY,S&P 500
WHR,S&P 500
WSR,S&P 600
XHR,S&P 600
WLY,S&P 600
WMB,S&P 500
WSM,S&P 400
WING,S&P 400
WGO,S&P 600
WTFC,S&P 400
WT,S&P 600
WOLF,S&P 400
WWW,S&P 600
WWD,S&P 400
WRLD,S&P 600
WKC,S&P 600
WOR,S&P 600
WW,
WH,S&P 400
WYNN,S&P 500
XPO,S&P 400
XPEL,S&P 600
XEL,S&P 500
XNCR,S&P 600
XYL,S&P 500
XRX,S&P 600
XPER,S&P 600
YELP,S&P 600
YETI,S&P 400
YUM,S&P 500
ZIMV,
ZBRA,S&P 500
ZBH,S&P 500
ZION,S&P 500
ZTS,S&P 500
ZI,S&P 400
ZUMZ,S&P 600
ZYXI,S&P 600
ADNT,S&P 400
ALKS,S&P 600
ALLE,S&P 500
AMCR,S&P 500
AON,S&P 500
ACGL,S&P 500
AGO,S&P 600
AXTA,S&P 400
ACN,S&P 500
CPRI,S&P 400
CWK,S&P 600
ETN,S&P 500
ESNT,S&P 400
EG,S&P 500
FN,S&P 600
FDP,S&P 600
G,S&P 400
HELE,S&P 400
JHG,S&P 400
ICHR,S&P 600
WFRD,S&P 400
IVZ,S&P 500
JRVR,S&P 600
JAZZ,S&P 400
JCI,S&P 500
LIN,S&P 500
LIVN,S&P 400
MDT,S&P 500
APTV,S&P 500
AOSL,S&P 600
QURE,S&P 600
NBR,S&P 600
NCLH,S&P 500
NVT,S&P 400
RNR,S&P 400
STX,S&P 500
PNR,S&P 500
ST,S&P 400
SIG,S&P 600
SPNT,S&P 600
SGH,S&P 600
STE,S&P 500
TT,S&P 500
TSE,S&P 600
VAL,S&P 400
WTW,S&P 500
PRGO,S&P 400
BG,S&P 500
CB,S&P 500
GRMN,S&P 500
TEL,S&P 500
LYB,S&P 500
NXPI,S&P 500
,S&P 600
RCL,S&P 500
LPG,S&P 600
