ticker,roa,roe
A,0.1606949988260155,0.2205228525698026
AA,0.07577684306628843,-0.1575044256255682
AAA,-0.762071203874769,-1.6083762262988874
AAAB,0.02122909026705764,0.1125483518094572
AAABB,0.01634778081478589,0.03123274706207114
AAAC,0.04473304473304473,0.01089368569699415
AABC,0.02050892318522209,0.06834617253105697
AAC,-0.04710228074465794,-0.6303155819294096
AACC,0.08483153304013397,0.0276791049340604
AACE,0.1805781173603054,0.1157733494997362
AACI,0.135369725778323,0.1250029582297953
AACIB,0.4061138606749864,0.1755198029041771
AACQ,-0.01082247507692985,-0.02926606641459707
AAD,0.003974067346058162,
AADI,-0.3971311955351303,-0.4193086027069339
AADV,0.02497157896376123,0.1236243059591758
AAE,0.1341439657131725,0.1186042926394765
AAF,0.1178146313381162,0.1304944101677776
AAFG,-1.1166837875400324,-6.01753970135103
AAG,0.01897955995136233,0.09988202909948879
AAGC,0.181375780980189,0.1671123739484094
AAGI,-0.3336147368876767,-0.6440114786286059
AAGP,0.3813364700610542,0.2268944371441086
AAHS,-0.2090433521520692,2.9961503464688177
AAI,0.09322194142739362,0.07151358958587875
AAIC,0.2171948550446051,0.2417880920677193
AAII,-0.01808645779616889,-0.1011112691221584
AAIR,0.200706646747765,
AAL,0.1055558485987928,
AALR,0.1355478839450653,0.1327427339697279
AALS,0.1585354025218235,0.2821554172368634
AALX,0.1141294890230164,0.3747096313062125
AAM,0.1368728953669043,0.09866565874085531
AAMC,-0.1166414728584845,
AAMD,0.1664231761524355,0.1292415844261187
AAME,-0.000896256912583905,-0.02538308896483299
AAMN,0.2828958575300038,0.1977952140011244
AAN,0.3224723786094237,0.01177912994373836
AANB,-0.01391890887917883,-0.2523588028137936
AAOI,-0.05582099448026132,-0.3023267461979783
AAON,0.2408042105861956,0.2195804266695912
AAP,0.08570753246716774,0.1513218029073559
AAPI,-0.3038162282326788,-0.7706753340556157
AAPL,0.3482046905171705,1.7194951160275842
AAR,0.187447823579869,0.01185381929073828
AARC,-12.063091482649842,
AARE,0.1625725054128465,0.0560150657521641
AARN,0.2551839116390539,-0.05363180599277136
AAS,0.09518732104690082,0.4166270364153451
AASI,0.2255041672064603,0.2214487966021708
AASP,0.01575717968267799,
AASS,0.1798397467603126,0.1200774693350549
AAST,0.09844422836505068,-0.4457457562131827
AATC,0.1314048919003151,0.05793475594800098
AATI,-0.09099530684726981,-0.130156224331569
AATK,0.08658008658008658,-0.004221190375685944
AATT,0.1466835737188439,0.08691921686903617
AAV,0.1020740891147647,0.06682188341576989
AAVL,-0.1732818688013322,-0.2002801278224004
AAWW,0.12198385044734,0.1065284761919871
AAX,0.07996399889227361,0.3699551569506727
AAXN,0.01930153745831204,-0.002267297845212207
AB,0.0446726494294029,
ABA,0.181668276699115,0.1245525861909089
ABAG,0.05478291436451639,-0.424093647336485
ABAI,0.1708192567567567,0.2282986703034436
ABAN,0.02434404289039463,0.06018655611489488
ABAT,-0.4328441325896797,-0.5016819667253716
ABAX,0.1442939996814838,0.0975215033892284
ABBC,0.01648891371136465,0.03580519419527545
ABBI,0.159810136866061,-0.03535190420884607
ABBK,0.02147821770250696,0.05292050755577701
ABBV,0.21939201076633,0.6252344100789731
ABBY,0.1805400327194389,0.0636147060717275
ABC,0.05934740216285313,0.8753466550780356
ABCB,0.02627670769435157,0.1118058873765559
ABCC,-0.01942264201144073,-0.1076096978901123
ABCD,0.3254565669830801,
ABCI,0.03037698755680304,0.1093934154042034
ABCL,0.01683221337733859,0.08777346589997075
ABCN,0.05657685622803078,0.1505668005834336
ABCO,0.07722573308132161,0.1588072140158619
ABCR,0.1661830151556005,-0.06242914129750158
ABCW,0.03499845412372598,0.4635943894034029
ABD,0.1368205594723675,
ABDN,0.4862480480548937,0.2779754928076718
ABDR,0.600831411579075,0.4118887547088192
ABE,0.1787413667466969,0.1347918634319627
ABEO,-0.8403941523783943,-1.9415308641975306
ABEV,0.08907150142945394,0.04395469096281704
ABF,0.1391880152126489,0.0151210303857019
ABFI,-0.05968701597160321,
ABFS,0.1047466892291016,0.02904306312379626
ABG,0.1672366450324513,0.38959314022306
ABGA,0.03394080850174248,0.1324939730810214
ABGX,-0.1822862126759062,-1.6069806266257713
ABH,0.0678892812393211,0.009898341359015517
ABI,0.2069310549555407,0.209260774668276
ABIG,0.0509976635517637,0.1603719152720127
ABII,-0.0364002035928717,-0.1106028744777078
ABIIB,0.335703463690503,0.2261056366499919
ABIO,-0.1661993551100519,-0.1321564972680591
ABIX,0.1149382867921434,0.0867260482294156
ABIZ,-0.04733733651180595,-1.745002563911521
ABK,-0.01624583517185068,
ABKC,-0.2735934664246825,-1.0081158148716824
ABKP,0.0182442876497659,0.1543824864212714
ABKR,0.01780127587718274,0.141944395938833
ABL,0.1735350552340043,0.1596843111858909
ABLE,-0.1535112085404123,-2.0868000899482793
ABM,0.1084202150449881,0.1361395525218051
ABMC,-0.03427747670786727,-0.190989847715736
ABMD,0.1687301728939036,0.182086185213057
ABMI,-1.1348369939919236,-3.8698649021229667
ABN,0.09780584060022234,-0.08386817178116682
ABNB,0.1247105622036048,1.0181125191933516
ABNC,0.01894530751790113,0.1505941219902157
ABNJ,0.008384455710812906,0.01229681017479426
ABNK,0.02432746486856953,0.1297830939956831
ABNY,0.01778451916888079,0.2549315346233539
ABOS,-0.2362821302139449,-0.2229312132905299
ABOT,0.445271585106244,0.255216812194761
ABOV,-0.4455130691072676,
ABP,0.2842083372719538,-0.1767941560685853
ABPCA,0.07599357900121716,-0.2475105826655636
ABPI,-1.3969894041613484,
