ticker,directorid,rolename
AAWW,502539.0,President/CEO
AAWW,502841.0,President/CEO
AAZ,36046.0,Chairman/President/CEO
AAZ,36048.0,Chairman/CEO/COO
AAZ,345214.0,Chairman/CEO
AAZ,345214.0,Chairman/President/CEO
AAZ,345214.0,President/CEO
AB,78682.0,Chairman/CEO
AB,78682.0,Vice Chairman/CEO
AB,552198.0,CEO
AB,552198.0,Chairman/CEO
AB,552259.0,Division Chairman/CEO
AB,1535737.0,President/CEO
ABBC,346524.0,Chairman/President/CEO
ABCB,335545.0,Chairman/President/CEO
ABCB,335545.0,President/CEO
ABCB,335564.0,Chairman/CEO
ABCB,335564.0,Chairman/President/CEO
ABCB,335564.0,President/CEO
ABCB,335855.0,President/CEO
ABCD,1057577.0,CEO
ABCO,140613.0,CEO
ABCO,202679.0,CEO
ABCO,202679.0,Chairman/CEO
ABCO,206775.0,Division CEO
ABCO,516336.0,CEO
ABCO,516336.0,Chairman/CEO
ABCT,2630912.0,President/CEO
ABCWQ,202098.0,Chairman/President/CEO
ABEO,1124998.0,CEO/Chief Medical Officer
ABEO,1124998.0,Interim CEO/Chief Medical Officer
ABEO,2320575.0,President/CEO
ABEO,2483686.0,President/CEO
ABG,60557.0,President/CEO
ABG,141415.0,Chairman/Interim CEO
ABG,141415.0,Chairman/President/CEO
ABG,332644.0,Regional President/CEO
ABG,499751.0,President/CEO
ABG,499751.0,Regional CEO
ABG,546849.0,President/CEO
ABG,607436.0,Regional CEO/Regional President
ABG,607437.0,Regional President/CEO
ABGX,182476.0,President/CEO
ABI,86047.0,Chairman/President/CEO
ABI,141878.0,Chairman/CEO
ABI,141878.0,President/CEO
ABII,500792.0,Vice Chairman/CEO
ABIO,202394.0,Chairman/CEO
ABIO,202394.0,Chairman/President/CEO
ABIO,324177.0,President/CEO
ABIO,339546.0,President/CEO
ABIO,340992.0,Chairman/President/CEO
ABIO,340992.0,President/CEO
ABKFQ,54802.0,Chairman/Interim President/CEO
ABKFQ,54967.0,Chairman/President/CEO
ABKFQ,54967.0,President/CEO
ABKFQ,486086.0,President/CEO
ABLE,443637.0,President/Acting CEO
ABLE,443644.0,CEO
ABLE,443644.0,Chairman/CEO
ABLT,347412.0,Chairman/CEO
ABLT,347412.0,Vice Chairman/CEO
ABM,203025.0,President/CEO
ABM,203028.0,President/CEO
ABM,1460529.0,President/CEO
ABMC,345922.0,CEO
ABMC,346620.0,CEO
ABMC,346620.0,Interim CEO
ABMC,346637.0,Chairman/President/CEO
ABMC,740874.0,Chairman/President/CEO
ABMC,740874.0,President/CEO
ABND,2203623.0,Chairman (Executive)/President/CEO
ABND,2735107.0,Division Chairman/Division CEO
ABNK,141709.0,President/CEO
ABO.A,734695.0,President/CEO
ABO.B,734695.0,President/CEO
ABP,182052.0,Chairman/CEO
ABP,182052.0,Chairman/Co-CEO
ABP,182052.0,Co-Chairman/Co-CEO
ABP,270296.0,President/CEO
ABP,270296.0,President/Co-CEO
ABPI,372474.0,Chairman/CEO
ABPI,372474.0,President/CEO
ABR,764352.0,CEO/Secretary
ABR,2177672.0,Chairman/CEO
ABR,2389334.0,President/CEO
ABR,2389334.0,President/CEO/CFO/Corporate Secretary
ABRA,1701993.0,Interim CEO
ABS,35852.0,Chairman/CEO
ABS,182703.0,CEO
ABS,272930.0,Chairman/CEO
ABS,537310.0,Division President/CEO
ABST,833008.0,Interim CEO
ABST,1083894.0,CFO/Interim CEO
ABT,33500.0,CEO
ABT,33500.0,Chairman/CEO
ABT,39851.0,CEO
ABT,39851.0,Chairman/CEO
ABT,1528777.0,Chairman/CEO
ABT,1528777.0,President/CEO
ABTX,272954.0,CEO
ABUS,2177373.0,Interim President/CEO
ABX,181652.0,Chairman/Acting CEO
ABX,272506.0,President/CEO
ABX,330703.0,President/CEO
ABX,330733.0,President/CEO
ABX,1879906.0,Division CEO
ABX,1919170.0,Division CEO/Division General Manager
ABXXF,1050436.0,Chairman/Acting CEO
ABXXF,1361011.0,President/CEO
ABXXF,1452221.0,CEO
AC,735146.0,Deputy CEO/CFO
AC,735146.0,President/CEO
ACAD,339859.0,CEO
ACAD,339859.0,Executive VP/CFO/Interim CEO
ACAD,339859.0,President/CEO
ACAP,337924.0,Division CEO
ACAT,181824.0,Chairman/CEO
ACAT,181824.0,Chairman/President/CEO
ACAT,181824.0,President/CEO
ACAT,630032.0,CEO
ACAT,630032.0,Chairman/President/CEO
ACB,1757075.0,Chairman (Executive)/Interim CEO
ACB,1840024.0,CEO
ACB,1840084.0,President/CEO
ACB,2319069.0,CEO
ACC,349897.0,CEO
ACC,349897.0,President/CEO
ACCL,320501.0,President/CEO
ACCO,63027.0,Chairman/CEO
ACCO,374424.0,Chairman/CEO
ACCO,374424.0,Chairman/President/CEO
ACCO,374424.0,President/CEO
ACCO,1079423.0,CEO
ACD,1097436.0,President/CEO
ACD,1097440.0,President/CEO
ACD,1097440.0,President/CEO/Secretary
ACD,1097442.0,President/CEO
ACD,1097444.0,Division Chairman/Division CEO
ACD,1399034.0,Division President/CEO
ACEC,376762.0,Chairman/CEO/Treasurer
ACEC,376762.0,Chairman/President/CEO/Treasurer
ACEC,440975.0,President/CEO
ACEL,348825.0,CEO
ACEL,348825.0,Chairman/CEO
ACEL,348825.0,Chairman/CEO/Acting CFO
ACEL,348825.0,President/CEO
ACEL,348825.0,President/CEO/CFO
ACER,509961.0,President/CEO/COO/Treasurer
ACER,510565.0,Chairman/President/CEO/CFO/Chief Accounting Officer
ACER,510565.0,Chairman/President/CEO/Treasurer
ACES,1480632.0,President/CEO
ACETQ,270752.0,President/CEO
ACETQ,270752.0,President/CEO/COO
ACETQ,336457.0,Chairman/CEO
ACETQ,336457.0,Chairman/President/CEO
ACETQ,336457.0,Chairman/President/CEO/COO
ACETQ,336599.0,Chairman/CEO
ACETQ,336724.0,President/CEO
ACETQ,1775921.0,President/CEO
ACF,181000.0,Chairman/CEO
ACF,181299.0,President/CEO/Principal Executive Officer
ACF,181313.0,Vice Chairman/CEO/President
ACFC,535731.0,Interim President/CEO
ACFC,535731.0,Interim President/CEO/CFO
ACFC,1086088.0,Interim President/CEO
ACFC,1086088.0,President/CEO
ACFN,624351.0,COO/Division CEO
ACFN,624351.0,Division President/CEO
ACGL,182387.0,President/CEO
ACGL,204927.0,CEO
ACGL,204927.0,Division Chairman/Division CEO
ACGL,204927.0,President/CEO
ACGL,490322.0,Division Chairman/CEO
ACGL,891846.0,Division Chairman/Division CEO
ACGL,1943478.0,Division President/CEO
ACGL,2183805.0,Division CEO
ACHC,2457028.0,Division CEO
ACHC,2549527.0,Interim CEO/Division COO
ACHN,556067.0,CEO
ACHN,556067.0,President/CEO
ACHN,652928.0,President/CEO
ACHV,445819.0,President/CEO
ACHV,1054920.0,CEO
ACIC,1882038.0,Chairman/CEO
ACIIQ,207746.0,Chairman/CEO
ACIIQ,207746.0,President/CEO
ACIW,104922.0,Chairman/CEO
ACIW,347511.0,President/CEO
ACIW,347626.0,Senior VP/Division President/CEO
ACIW,444829.0,Interim CEO
ACIW,536312.0,Interim President/CEO
ACIW,536312.0,President/CEO
ACIW,1541335.0,Interim President/CEO/COO
ACLI,603204.0,President/CEO
ACLS,181966.0,Chairman/President/CEO
ACLS,181966.0,President/CEO
ACLS,1808480.0,President/CEO
ACM,57502.0,Chairman/CEO
ACM,57502.0,Chairman/President/CEO
ACM,533188.0,CEO
ACM,533188.0,Chairman/CEO
ACM,533188.0,President/CEO
ACM,596401.0,Chairman/CEO
ACM,596401.0,President/CEO
ACM,596401.0,President/CEO/Acting CFO
ACM,596413.0,Division Group CEO
ACM,833254.0,Regional CEO
ACM,1108446.0,Division Chairman/Division CEO
ACM,1131036.0,Division CEO
ACM,1131036.0,Division Interim CEO
ACM,1334644.0,Executive VP/Regional CEO
ACM,1367839.0,CEO
ACM,1941918.0,Division CEO
ACM,2650311.0,Regional CEO
ACM.A,640877.0,President/CEO
ACM.B,640877.0,President/CEO
ACMR,592179.0,Acting CEO/COO
ACMR,592179.0,CEO
ACMR,592179.0,CEO/COO
ACMR,1979846.0,Division President/CEO
ACN,142081.0,CEO
ACN,142081.0,Chairman/CEO
ACN,142132.0,Division CEO
ACN,444884.0,Regional CEO
ACN,492239.0,CEO
ACN,492239.0,CEO Designate
ACN,492239.0,Chairman/CEO
ACN,498602.0,Division CEO
ACN,506367.0,Interim CEO
ACN,594103.0,Division CEO
ACN,1071350.0,CEO
ACN,1071350.0,Chair/CEO
ACN,1071350.0,Regional CEO
ACN,1093900.0,Division Chairman/Division CEO
ACN,1097632.0,Regional CEO
ACN,1724043.0,Regional CEO
ACN,1962505.0,Division CEO
ACN,1962505.0,Regional CEO
ACN,2160245.0,Regional CEO
ACN,2543559.0,Regional CEO
ACN,2627240.0,Division CEO
ACNB,1384952.0,President/CEO
ACNT,449669.0,Chairman/CEO
ACNT,449692.0,President/CEO
ACNT,449749.0,President/CEO
ACNT,449824.0,President/CEO
ACNT,890733.0,CEO
ACNT,2386757.0,Interim President/CEO
ACNT,2386757.0,President/CEO
ACO,272505.0,Chairman/CEO
ACO,272505.0,President/CEO
ACO,272508.0,President/CEO
ACO,273655.0,President/CEO
ACO.X,331101.0,Chair/CEO
ACO.X,331101.0,Chairwoman/President/CEO
ACO.X,331101.0,Deputy CEO
ACO.X,331101.0,President/CEO
ACO.X,331101.0,President/CEO/Deputy Chairman
ACO.X,641042.0,Division President/CEO
ACO.Y,331101.0,Chair/CEO
ACO.Y,331101.0,Chairwoman/President/CEO
ACO.Y,331101.0,Deputy CEO
ACO.Y,331101.0,President/CEO
ACO.Y,331101.0,President/CEO/Deputy Chairman
ACO.Y,641042.0,Division President/CEO
ACPIQ,324976.0,CEO
ACPIQ,324976.0,President/CEO
ACQ,1374069.0,President/CEO
ACRE,454293.0,Chairman/Interim Co-CEO
ACRE,1253719.0,Co-CEO
ACRE,1253719.0,President/CEO
ACRE,1253719.0,President/Co-CEO
ACRE,1359104.0,Co-CEO
ACRE,1359104.0,President/Co-CEO
ACRE,1762757.0,CEO/Chief Investment Officer
ACRE,1762757.0,President/CEO/Chief Investment Officer
ACRG.A.U,63422.0,Interim CEO
ACRG.A.U,2593545.0,CEO
ACRG.A.U,2593545.0,Chairman/CEO
ACRG.B.U,63422.0,Interim CEO
ACRG.B.U,2593545.0,CEO
ACRG.B.U,2593545.0,Chairman/CEO
ACR.H,482389.0,Interim CEO/Interim CFO
ACR.H,734081.0,President/CEO
ACR.H,1448238.0,President/CEO
ACR.H,1448238.0,President/CEO/Secretary
ACR.H,1941324.0,Interim CEO
ACR.H,2156178.0,CEO
ACRS,987981.0,Chairman/Interim President/CEO
ACRS,1913926.0,President/CEO
ACS,55857.0,CEO
ACS,55857.0,President/CEO
ACS,55872.0,President/CEO
ACS,55892.0,President/CEO
ACST,2609520.0,CEO
ACTA,1337652.0,Regional CEO
ACTG,481196.0,CEO
ACTG,481196.0,Chairman/CEO
ACTG,481196.0,Chairman/President/CEO
ACTG,481196.0,President/CEO
ACTG,600640.0,CEO
ACTG,600640.0,President/CEO
ACTG,885617.0,Interim CEO
ACTG,885651.0,President/CEO/Principal Executive Officer
ACTG,1278660.0,CEO
ACTG,1278660.0,Interim CEO
ACTI,273607.0,Chairman/CEO
ACTI,342542.0,CEO/Senior VP
ACTI,454100.0,CEO
ACTV,1109405.0,CEO
ACTV,1109407.0,Interim CEO
ACU,346703.0,Chairman/CEO
ACU,346703.0,President/CEO
ACU,346703.0,President/CEO/CFO
ACUR,489993.0,COO/Interim President/CEO
ACUR,489993.0,President/CEO
ACV,27469.0,President/CEO
ACV,453058.0,President/CEO
ACV.A,27469.0,President/CEO
ACV.A,453058.0,President/CEO
AD,183225.0,CEO
AD,183225.0,Chairman/CEO
AD,183258.0,Interim CEO
ADAM,68592.0,President/CEO
ADAM,345597.0,Chairman/CEO
ADAM,487137.0,President/CEO/Secretary
ADAT,336561.0,President/CEO
ADAT,446221.0,President/CEO
ADBE,49341.0,CEO
ADBE,49341.0,CEO/Acting CFO
ADBE,49341.0,President/CEO
ADBE,49351.0,Chairman/President/CEO
ADBE,49351.0,President/CEO
ADBL,346856.0,Chairman/CEO
ADBL,346856.0,Chairman/President/CEO
ADC,493647.0,President/CEO
ADCT,83972.0,Chairman/President/CEO/COO
ADCT,83972.0,President/CEO/COO
ADCT,203115.0,Chairman/President/CEO
ADCT,203115.0,President/CEO/Principal Executive Officer
ADD,2399839.0,Acting Co-CEO
ADD,2488201.0,Acting Co-CEO
ADEA,59002.0,Chairman/Interim CEO
ADEA,330381.0,President/CEO
ADEA,342878.0,President/CEO
ADEA,377486.0,CEO
ADEA,377486.0,Interim CEO
ADEA,454998.0,Chairman/President/CEO
ADEA,454998.0,Vice Chairman/President/CEO
ADEA,1322831.0,President/CEO
ADEN,1657163.0,President/CEO
ADEN,1657163.0,VP/COO/Acting CEO
ADEP,346785.0,President/CEO
ADEP,346785.0,President/CEO/Assistant Secretary
ADEP,346785.0,President/CEO/Secretary/Interim CFO
ADES,1336072.0,President/CEO
ADES,1336072.0,President/CEO/Treasurer
ADES,1723643.0,President/CEO/Treasurer
ADEX,325164.0,President/CEO
ADFS,623422.0,Chairman/Acting CEO
ADGF,348161.0,Chairman/Interim CEO
ADGI,141438.0,Chairman/CEO
ADGI,141438.0,Chairman/President/CEO
ADGI,349364.0,CEO
ADGI,349364.0,President/CEO
ADGI,349845.0,Chairman/President/CEO
ADI,35429.0,Chairman/CEO
ADI,35429.0,Chairman/President/CEO
ADI,35429.0,President/CEO
ADI,35431.0,CEO
ADI,35431.0,President/CEO
ADI,35469.0,Chair/President/CEO
ADI,35469.0,President/CEO
ADI,35469.0,President/Interim CEO
ADID,625812.0,Chairman/President/CEO
ADID,625920.0,CEO
ADID,1082659.0,CEO
ADIL,509290.0,President/CEO
ADL,371054.0,Chairman/President/CEO
ADL,485406.0,Chairman/CEO
ADL,485553.0,President/CEO
ADL,485553.0,President/CEO/Secretary
ADL,485553.0,President/CEO/Secretary/Acting CFO
ADLI,516611.0,Chairman/President/CEO
ADLI,516611.0,President/CEO
ADLR,271584.0,Chairman/Interim President/CEO
ADLR,271624.0,President/CEO/Principal Executive Officer
ADM,36986.0,Chairman/CEO
ADM,36986.0,Chairman/President/CEO/COO
ADM,36986.0,President/CEO
ADM,890753.0,Chairman/President/CEO
ADM,890753.0,President/CEO
ADN,1097433.0,President/CEO
ADN,1395290.0,Interim President/Interim CEO
ADN,1395290.0,President/CEO
ADN,1920238.0,President/CEO
ADNT,447703.0,Interim CEO
ADNT,1864433.0,President/CEO
ADP,34223.0,Chairman/CEO
ADP,34223.0,President/CEO
ADP,35098.0,CEO
ADP,35098.0,President/CEO
ADP,35121.0,CEO
ADP,35121.0,Chairman/CEO
ADP,745222.0,CEO
ADP,745222.0,President/CEO
ADP,1467082.0,President/CEO
ADPT,35451.0,Chairman/President/CEO
ADPT,35451.0,President/CEO
ADPT,183041.0,Interim CEO
ADPT,183110.0,President/CEO
ADPT,183158.0,Chairman/CEO
ADPT,183158.0,Chairman/President/CEO
ADPT,183158.0,President/CEO
ADPT,203123.0,Interim CEO
ADPT,220570.0,Interim President/CEO
ADPT,334713.0,President/CEO
